Name,Constellation,Magnitude,Distance (ly)
NGC 3587 Owl Nebula,Ursa Major,9.9,2600.0
NGC 4192,Coma Berenices,10.1,60000000.0
NGC 4254,Coma Berenices,9.9,60000000.0
NGC 4321,Coma Berenices,9.3,60000000.0
NGC 5457 Pinwheel Galaxy,Ursa Major,7.9,27000000.0
NGC 5866 Spindle Galaxy,Draco,9.9,40000000.0
NGC 581,Cassiopeia,7.4,8000.0
NGC 4594 Sombrero Galaxy,Virgo,8,50000000.0
NGC 3379,Leo,9.3,38000000.0
NGC 4258,Canes Venatici,8.4,25000000.0
NGC 6171,Ophiucus,7.9,19600.0
NGC 3556,Ursa Major,10,45000000.0
NGC 3992,Ursa Major,9.8,55000000.0
NGC 205 Satellite of M31,Andromeda,8.5,2900000.0
